img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance,url
189fb69e207e0f0d07979467d75835b.jpg,35.78,35.78,-91.63,-91.63,0,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/189/fb6/189fb69e207e0f0d07979467d75835b.jpg
427bb714fc872c70f92996313f9baa.jpg,23.58,23.58,119.58,119.58,0.02,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/427/bb7/427bb714fc872c70f92996313f9baa.jpg
41a54479f5d71c0d5f0a71f319f235b.jpg,23.58,23.58,119.58,119.58,0.02,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/41a/544/41a54479f5d71c0d5f0a71f319f235b.jpg
915631163ecce9faa6aa2cd386c2e20.jpg,40.75,40.75,-73.99,-73.99,0.03,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/915/631/915631163ecce9faa6aa2cd386c2e20.jpg
ddce1eeddda5fb1049dbf61f6ef843c0.jpg,23.58,23.58,119.58,119.58,0.03,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ddc/e1e/ddce1eeddda5fb1049dbf61f6ef843c0.jpg
f93e5a4dc4a47319bd944ea517eb38ca.jpg,50.85,50.85,4.35,4.35,0.05,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/f93/e5a/f93e5a4dc4a47319bd944ea517eb38ca.jpg
183b97e8e9c11ea7b2c8bdf5f9ecdf1a.jpg,40.76,40.76,-73.99,-73.99,0.07,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/183/b97/183b97e8e9c11ea7b2c8bdf5f9ecdf1a.jpg
61fbee331447315539f47c9a6bcdfd9.jpg,23.57,23.57,119.58,119.58,0.09,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/61f/bee/61fbee331447315539f47c9a6bcdfd9.jpg
cdd9ec95c78569532ccdaa22d8c7eb1.jpg,40.76,40.76,-73.98,-73.98,0.11,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/cdd/9ec/cdd9ec95c78569532ccdaa22d8c7eb1.jpg
487715f37772e3665e263b317d32540.jpg,34,34,-118.33,-118.33,0.12,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/487/715/487715f37772e3665e263b317d32540.jpg
6663629ca74637e1da9a642476bc4.jpg,38.9,38.9,-77.02,-77.02,0.14,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/666/362/6663629ca74637e1da9a642476bc4.jpg
c8f2dc88552d73446f6388422d4f794.jpg,38.9,38.9,-77.02,-77.02,0.14,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/c8f/2dc/c8f2dc88552d73446f6388422d4f794.jpg
ec96766abe122a3924682c21e8617d.jpg,40.77,40.77,-73.97,-73.97,0.15,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ec9/676/ec96766abe122a3924682c21e8617d.jpg
717ba43cb14193fab5f8f2488057e11f.jpg,40.76,40.76,-73.99,-73.99,0.16,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/717/ba4/717ba43cb14193fab5f8f2488057e11f.jpg
dae8d8b833d85a748136669a12d661.jpg,50.85,50.85,4.36,4.35,0.17,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/dae/8d8/dae8d8b833d85a748136669a12d661.jpg
9151b3f64fc7d6ca0e18767789accdc.jpg,37.52,37.52,-77.4,-77.41,0.22,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/915/1b3/9151b3f64fc7d6ca0e18767789accdc.jpg
ba6b4cd98a7c759b01126afc083d632.jpg,39.46,39.46,-3.61,-3.61,0.23,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ba6/b4c/ba6b4cd98a7c759b01126afc083d632.jpg
219691df69d6b5e20c9e058c2303d16.jpg,32.71,32.71,-117.16,-117.16,0.25,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/219/691/219691df69d6b5e20c9e058c2303d16.jpg
42cf170a68589aa3ece5eb35ecb6a6.jpg,37.79,37.78,-122.41,-122.4,0.3,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/42c/f17/42cf170a68589aa3ece5eb35ecb6a6.jpg
2e5cfe64f70c62bea02bc7a2fc336e.jpg,37.82,37.82,-122.48,-122.48,0.32,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/2e5/cfe/2e5cfe64f70c62bea02bc7a2fc336e.jpg
529252751122c75fd24a1b4ccf6cddde.jpg,42.28,42.28,-83.75,-83.75,0.37,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/529/252/529252751122c75fd24a1b4ccf6cddde.jpg
f05f3020335f75d3213cc48019a1f9a1.jpg,37.76,37.76,-122.42,-122.42,0.37,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/f05/f30/f05f3020335f75d3213cc48019a1f9a1.jpg
af13ce14f9289ba7bc94c05fcefa5780.jpg,9.16,9.15,-79.83,-79.83,0.39,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/af1/3ce/af13ce14f9289ba7bc94c05fcefa5780.jpg
76273b2025bb63ab94ef15c4bb2b31c.jpg,43.77,43.77,11.26,11.26,0.41,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/762/73b/76273b2025bb63ab94ef15c4bb2b31c.jpg
ed121192d694463c8723aead65a43d0.jpg,35.77,35.77,-91.62,-91.63,0.46,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ed1/211/ed121192d694463c8723aead65a43d0.jpg
ecdb91d628652dbd6a664a72d3a5407b.jpg,52.38,52.37,4.89,4.89,0.49,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ecd/b91/ecdb91d628652dbd6a664a72d3a5407b.jpg
ff6f48e5aab519820d7d8e2a0fa8d9b.jpg,37.76,37.76,-122.42,-122.42,0.49,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ff6/f48/ff6f48e5aab519820d7d8e2a0fa8d9b.jpg
42935f9e1e8dec652dd44bfd82694c5d.jpg,37.78,37.78,-122.41,-122.4,0.54,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/429/35f/42935f9e1e8dec652dd44bfd82694c5d.jpg
ebda4985278a459c8d69c0da747a6fc.jpg,40.77,40.77,-73.98,-73.97,0.56,https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ebd/a49/ebda4985278a459c8d69c0da747a6fc.jpg
